Name,Latitude,Longitude
12 Blues,5.646670499,72.9861964
Agatti Island,10.85870688,72.19373042
Alifushi,5.967299488,72.95344635
Al Qibiliya,17.50056952,56.33944566
Al Sauda,17.49153899,55.85609672
Amini Island,11.12455602,72.72409408
Arnala Island,19.46437695,72.73080925
Astola Island,25.12227353,63.84759923
Bangaram Island,10.93968236,72.28723705
Cheriyam Island,10.1430733,73.66210202
Chetlat Island,11.69156072,72.71187978
cocoon,5.281580099,73.6231479
Darsa,12.11894647,53.27693517
Dhanbidhoo,2.094601547,73.54503714
Dhigurah,5.732585509,73.35923785
Dhinmana,0.449991953,72.99780906
Dhuvaafaru,5.628723022,73.04192484
Elephanta Island,18.96281794,72.93363267
Fahala,2.406349888,73.35972257
Fainu,5.463381206,73.03462322
Farukolhu,6.191700729,73.29731533
Feydhoo,-0.683160449,73.13447256
Filladhoo,6.88936766,73.23017183
Finley,6.745924008,73.05326819
Fonadhoo,1.833000386,73.50040292
Funadhoo,6.152443012,73.2896865
fushifaru,5.490944699,73.5153011
Fuvahmulah,-0.295692603,73.42474538
Gaadhoo,1.820778672,73.45126478
Gan,-0.694049675,73.15335405
Gan,1.912372513,73.53998479
Goidhoo,4.873034389,72.99892026
Haadhoo,0.452110451,72.99967759
Hanimaadhoo,6.756088237,73.17312804
Himmafushi,4.308035868,73.57110548
Hithadhoo,-0.60732448,73.08973546
Hithadhoo,1.796555616,73.388143
Hoandehdhoo,0.444708692,73.00355683
Hoarafushi,6.983204505,72.89481265
Hulhulé,4.193351326,73.53093962
Hulhumale,4.2139376,73.5385131
Hulhumalé,4.223022324,73.54289007
Hulhumeedhoo,-0.590978028,73.22532257
Hulhumeedhoo,-0.589087992,73.22962178
Ifuru,5.707578297,73.02430319
Ihavandhoo,6.9531388,72.92634061
Ilha Grande,15.35215005,73.77829119
Inguraidhoo,5.476999156,73.0367239
Innamaadhoo,5.549552539,73.04448118
Isdhoo,2.118620935,73.56737979
Jazirat Mahaut,20.57123434,58.17266342
Jazirat Shaghaf,20.46151837,58.74812166
Kaadehdhoo,0.4874073,72.99364034
Kaashidhoo,4.955715318,73.46126538
Kadhdhoo,1.859999266,73.52160407
Kadmat Island,11.22682194,72.77696697
Kalpeni Island,10.07095078,73.64441748
Kandholhudhoo,5.618640907,72.85520671
Kanditheemu,6.44034715,72.91653099
Kandoodhoo Kandoodhoo,2.320482136,72.91675847
Kannigilla,0.448933584,72.9984326
Kaohera,-0.5913575,73.0886837
Karumbhar Island,22.43357624,69.62289676
Kavaratti Island,10.56318603,72.63809984
Kelaa,6.954707882,73.21612599
Kendhikulhudhoo,5.952541284,73.41591919
Keylakunu,6.602772282,73.00912737
Kiltān Island,11.48388982,73.00556958
Kinolas,5.447826225,73.03193848
Kottefaru,5.510440945,73.04111713
Kudhehulhahddu,0.454296716,72.99733274
Kulhudhuffushi,6.623242294,73.06911879
Kumundhoo,6.572106234,73.05234857
Kunahandhoo,1.783064017,73.36835643
Lundhoo,5.660080699,72.9578939
Maabaidhoo,2.029105743,73.53257259
Maafaru,5.822498399,73.4750207
Maafushi,3.940939205,73.48961424
Maafushi Island,3.940924747,73.48963109
Maakandoodhoo,6.234776814,73.26727604
Maakurathu,5.606147928,73.04414094
Maamigili,3.474574609,72.83679983
Makunudhoo,6.409565392,72.70515615
Malé,4.174222477,73.50950435
Manadhoo,5.765736019,73.41078638
Maradhoo,-0.668446379,73.12140828
Medhoo,1.78684072,73.38148508
Meedhupparu,5.455070447,72.9787345
Milandhoo,6.286134539,73.24451877
Mulhadhoo,7.012359902,72.99809206
Mulidhoo,6.836175795,73.0113254
Neykurendhoo,6.543062564,72.97967219
Nolhivaran,6.662401252,73.08223778
Nolhivaranfaru,6.697321618,73.12005695
Nora Island,22.51683107,69.34028347
palm beach,5.467793299,73.5622822
Pānikota Island,20.76048827,71.15245184
Pirotan Bet,22.60010862,69.95563007
Rasmaadhoo,5.563056357,73.04386313
Reethi Rah,4.514554214,73.36935156
Sun Island,3.483336168,72.80169055
Thanburudhoo,4.3155206,73.5842737
Theefaridhoo,6.74027472,73.03333321
Thilafushi,4.182359699,73.44186753
Thilamaafushi,5.273415799,73.5874188
Thimarafushi Thimarafushi,2.208776875,73.14861929
Thinadhoo,0.532534029,72.99736179
Thoddoo,4.437134655,72.95961628
Uligan,7.082043684,72.92735585
Un'goofaaru,5.668114555,73.0302174
Vaikaradhoo,6.549776818,72.95315834
Vaikaramuraidhoo,6.540707858,72.89809271
Vandhoo,5.531722252,73.0420181
Velifinolhu,7.028773808,72.84065465
Villingili,0.75657642,73.43541859
Vilufushi,2.50318032,73.30858309
Ziyaraifushi,4.533142206,73.37244299
