number,Atoll,Island,Date,Type,Area_sqm,Rationale
0,Haa Alifu,Dhihdhoo,2010,Extension,398246.94,Social Development & Recreation
1,Haa Alifu,Dhihdhoo,2023,"Environmental Protection
Extension",265000,Social Development & Recreation
2,Haa Alifu,Huvarafushi,2019,Airport Development,350000,Economic Development
3,Haa Alifu,Huvarafushi,2023,"Airport Development 
Extension",1400,Economic Development
4,Haa Alifu,Ihavandhoo,2020,Extension,250000,Social Development & Recreation
5,Haa Dhaalu,Kulhudhuffushi,2010,Martime Development,20277,Economic Development
6,Haa Dhaalu,Kulhudhuffushi,2010,Extension,285000,Social Development & Recreation
7,Haa Dhaalu,Kulhudhuffushi,2016,Maritime Development,38210,Economic Development
8,Haa Dhaalu,Kulhudhuffushi,2017,Airport Development,183500,Economic Development
9,Haa Dhaalu,Makunudhoo,2023,Airport Development,430000,Transport & Connectivity
10,Shaviyani,Bileiyfahi,2023,Airport Development,360000,Transport & Connectivity
